,Product Name,Product URL,Sale Price,Original Price,Discount %
0,OTG Type C To USB Converter Adapter To Connect Flash Memory On Phone,https://www.jumia.com.eg/otg-type-c-to-usb-converter-adapter-generic-mpg744681.html,29.90,95.00,69%
1,Energizer 18W Quick Charge Car Charger With USB-C Cable - Black,https://www.jumia.com.eg/18w-quick-charge-car-charger-with-usb-c-cable-black-energizer-mpg837436.html,165.00,199.00,17%
2,"OPPO Reno 12F - 6.6"" 256GB/12GB Dual SIM 5G Phone Mobile - Olive Green",https://www.jumia.com.eg/oppo-reno-12f-6.6-256gb12gb-dual-sim-5g-phone-mobile-olive-green-105944416.html,"12,815.00","18,000.00",29%
3,P9 Bluetooth Wireless Headphone - Blue,https://www.jumia.com.eg/generic-p9-bluetooth-wireless-headphone-blue-72862223.html,315.00,666.00,53%
4,"JOYROOM JR-QP191 Power Bank 10000 MAh Fast Charging 22.5W - PD3.0, QC3.0-AFC, Huawei SCP,FCP",https://www.jumia.com.eg/joyroom-jr-qp191-power-bank-10000-mah-fast-charging-22.5w-pd3.0-qc3.0-afc-huawei-scpfcp-16903098.html,589.00,"1,200.00",51%
5,Iphone Charger Head - 20w - Type-C Port - White,https://www.jumia.com.eg/usb-c-20w-power-adapter-charger-general-mpg784505.html,99.98,260.00,62%
6,"Anker Soundcore K20i ENC, Water resistance IPX5, Bluetooth 5.3 Earphones - Black",https://www.jumia.com.eg/anker-soundcore-k20i-enc-water-resistance-ipx5-bluetooth-5.3-earphones-black-114352328.html,"1,159.00","1,599.00",28%
7,Ten Tech Transparent Cover With Anti-shock Corners Made Of Heat-resistant Polyurethane For Samsung Galaxy A35 5G – Transparent,https://www.jumia.com.eg/generic-ten-tech-transparent-cover-with-anti-shock-corners-made-of-heat-resistant-polyurethane-for-samsung-galaxy-a35-5g-transparent-93602975.html,99.00,180.00,45%
8,XIAOMI Redmi 13C - 8GB RAM - 256GB - Midnight Black,https://www.jumia.com.eg/redmi-13c-6.74-inch-8gb256gb-dual-sim-4g-mobile-phone-midnight-black-xiaomi-mpg1152255.html,"6,499.00","7,799.00",17%
9,"OPPO A3 - 6.6"" 128GB/6GB Dual SIM 4G Mobile Phone - Starlight White",https://www.jumia.com.eg/oppo-a3-6.6-128gb6gb-dual-sim-4g-mobile-phone-starlight-white-115213548.html,"6,899.00","8,107.50",15%
